Title,System,Category,Summary,Keywords,Full Guidance,Source,Status,File
Creating a scheduled message,Accurx,Messages,Explains how to schedule an Accurx message for a future date and time.,"schedule, scheduled, message, future, date, time, custom, future date, send later","On the send button is an arrow pointing down, if you click on this you can select to schedule a message. It automatically gives you four options – Now, today at 7pm, tomorrow at 8am and custom date and time. If selecting the custom date and time, you will be able to send it after a certain time frame, you can select days, weeks or months and the time. Or you can select the specific date and choose the exact date to send it on and the time. After that, you will be able to compose the message and send it to the patient.",Accurx training guide,Sample prototype Data,Structured Data Scheduling Accurx.docx
Attaching files to a message,Accurx,Messages,Explains how to attach a file to a message,"message, attachment, attach, attaching, document, upload, file, insert","At the bottom of the message screen, next to the calendar icon is a paperclip icon. By clicking that icon, you can attach documents from the desktop, SystmOne or NHS.UK advice. Once the correct item has been attached, compose the message and press sent.",Accurx training guide,Sample prototype Data,Structured Data Attachments Accurx.docx
Sending Booking Links,Accurx,Messages,Explains how to send a booking link ,"message, booking, booking link, link, self book, appointment link, appointment","Booking links – By clicking the calendar icon at the bottom of the message screen, you will be able to create a booking link for the patient to book an appointment. You have to choose what appointment type it is (face to face or telephone, select the option needed), what slot type (e.g. blood test select blood test slot), which clinician it will be with (Any clinician or specific clinicians – you will be able to select multiple clinicians or just one by searching the name), appointment availability will allow you to only show patients appointments for the next two weeks or 12 weeks you will need to manually type and you can also change it to days, leave the patients can decline section, once completed select add. You will be able to compose a message after creating the booking link to send to the patient.",Accurx training guide,Sample prototype Data,Structured Data Booking Links Accurx.docx
Sending Questionnaires,Accurx,Messages,Explains how to send a questionnaire,"message, questionnaire, questionnaires, questions, forms, question, sending questionnaire, sending question, form,","On the message screen, you will see a section that says “search templates and questionnaires” if you select that you can scroll through created templates and questionnaires. The questionnaires are indicated by a clipboard with a tick on it icon. Select the relevant questionnaire (you can preview to check by selecting preview templates and questionnaires) then press send. ",Accurx training guide,Sample prototype Data,Structured Data Sending Questionnaires Accurx.docx
Checking My Inbox,Accurx,Inbox,Explains how to check for new and old messages in your own inbox ,"message, inbox, checking, messages, new, old, inboxes, check, read, unread","Open messages – This is where any conversations, assigned to yourself, that have not been marked done can be found. Any replies to your message that has allowed a patient to reply, will be found in this section. Done messages – All messages that have been sent or marked done, will be found in this section. Sent & scheduled – This subcategory is split into two tabs, one is sent, and one is scheduled, this allows you to track the messages you have sent or have scheduled to send. You will be able to see if a patient has booked via the booking link you have sent. You will also be able to see the messages you have scheduled to send and cancel them if needed.",Accurx training guide,Sample prototype Data,Structured Data Checking My Inbox on Accurx.docx
Checking Unassigned,Accurx,Inbox,Explains how to check for new and old messages in the unassigned inbox,"message, inbox, checking, messages, new, old, inboxes, check, unassigned, unread, read, ","This is where all new messages are found. This can be anything from requesting appointments to admin queries. You can filter to see if which ones are medical and which ones are admin related. You will also be able to reorder the messages and put oldest to newest and vice versa. Select the message you wish to read and respond to, it should come up with the patient’s details, if it does not you will be able to select/search for the patient and match them to the selected conversation. You can save the message to the patient’s records by selecting save to record that can be found at the bottom of the message. You can reply to the patient to keep them updated via the reply to patient button or you can add a note (found next to the reply button) if you need to chase anything up. Once you have finished with the message you can mark the message as done – there is a button “mark done” at the top. At the top there is also a flag icon that you can use if the message is urgent. When saving to the patients record, their records should open up in SystmOne, if they don’t, you can open the patients records by going to the top right hand side and click on “SystmOne”.",Accurx training guide,Sample prototype Data,Structured Data Checking Unassigned on Accurx.docx
Teams and Questionnaires,Accurx,Inbox,Explains how to check the inbox for teams and questionnaires,"message, inbox, checking, messages, new, old, inboxes, check, unassigned, teams, questionnaires, team, question, questionnaire, questions, forms, colleagues, groups,",Certain questionnaires and messages have an automatic section they go into. E.g. pre-travel questionnaire responses go under questionnaires and then pre-travel. ,Accurx training guide,Sample prototype Data,Structured Data Teams and Questionnaires Accurx.docx
Sending a Message,Accurx,Messages,Explains how to send a message,"message, standard, messages, messaging, text, SMS, texts, email, emails,   ","You can manually type a message to a patient, or you can select a template. Templates are found in the same drop-down menu as questionnaires and are indicated by a message icon next to them. You can search or scroll to find the appropriate template. You can also allow the patient to reply to your message by selecting “Allow reply”.",Accurx training guide,Sample prototype Data,Structured Data Standard messages Accurx.docx
Selecting a Patient,Accurx,Navigation,Explains how to select/find a patient to send a message to them,"message, selecting, messages, messaging, patient, find patient, patients, find, finding","There are two ways of selecting the patient to send a message to. One way is by selecting the speech bubble icon and searching for the patient by name. The main way of sending a message, is selecting that same icon whilst in a patient’s record on SystmOne.",Accurx training guide,Sample prototype Data,Structured Data Selecting a Patient on Accurx.docx
Further Information on Accurx,Accurx,Information,Other useful information for Accurx,"Other, Information, Other information, Accurx information, Further information, further, Remove name, remove, save, change, number, numbers, name","Use your NHS email to sign in to Accurx. You will automatically be logged in once you have logged into SystmOne (if you have previously logged on, on the computer you are using.) It appears as a floating toolbar with four symbols: Speech bubble for messages. Camera for video calls (not used by patient care coordinators). Pigeonhole for inbox Initials for the menu. Remove your name at the bottom of the message. You cannot exceed 612 characters. Keep “save” ticked. You can change the number the message is to be sent to or to send it via an email instead of an SMS. You can do this by clicking on the drop-down menu next to “To:” Colleagues is not used unless someone asked you to keep an eye on a response from a patient that they are waiting for, and they are on leave.",Accurx training guide,Sample prototype Data,Structured Data Further Information Accurx.docx
Navigating Accurx Menu ,Accurx,Navigation,How to navigate the Accurx menu ,"Menu, navigation, Accurx menu, navigating Accurx, navigating menu, navigate,","By clicking on your initials, you will access the menu. If you click on your name, a window will open in your default web browser that will allow you to access different settings, e.g. questionnaires or your account. Through the window on the web browser, you will be able to create templates, manage them and also add them to the workspace where everyone can access the template you created. You will also be able to send batch messages should you require via this page or you can select the batch messaging option. The other options are not needed for the role of Patient Care Coordinator. ",Accurx training guide,Sample prototype Data,Structured Data Navigating the Menu Accurx.docx
Appointment Guidance Face to Face (F2F),SystmOne,Appointments,Guidance on how to book an appointment Face to Face (F2F),"appointments, in person, f2f, F2F, Face to Face, appointment, booking, booking appointment, booking appointments, bookings, ","On the day appointment (F2F) – These will be with our salaried GPs, registrars and ANP. Please note the time of these as they may need to be booked first due to the time of the slot. These are for urgent issues only. Anything routine is to be directed to Rapid Health or Accurx depending on age. Write a brief description in the note section e.g. F2F – Chest infection that has not cleared up after antibiotics. If possible, please avoid double appointments unless urgently needed, i.e. translator for a patient that NEEDS an appointment. Do not pre-book appointments. Unless they absolutely have no other way to book an appointment, we can put them on the waiting list, or they can call on another day. Unless informed, do not book any of the RH slots, this is for Rapid Health. Joint sessions are for new issues that have not been seen previously. Face-to-face appointments CAN be turned into telephone consultations if needed.",Appointment Guidance,Sample prototype Data,Structured Data Appointment Guidance F2F.docx
Appointment Guidance Telephone Consultation (TC),SystmOne,Appointments,Guidance on how to book a Telephone Consultation (TC),"appointments, over phone, phone, telephone, TC, tc, Telephone Consultation, telephone consultation, telephone appointment, booking, phone booking appointment, booking appointments, bookings, call, calls, phone consultation, phone appointment, ","Telephone Appointment (TC) – These will be with our salaried GPs, registrars and ANP.  Anything that needs to be seen is not to be booked as a TC, UNLESS the patient has specifically requested it or has any issues with coming in for an appointment. Write in the note section - TC call 123 – Wants to discuss mental health issues. Do not provide patients with an exact appointment time; clinicians will call anytime between 8am and 6:30pm. Please avoid using the Rapid Health telephone consultation slots as this is for the Rapid Health patients. Do not pre-book any appointments, if a patient needs a call on another day direct them to Rapid Health or Accurx depending on age. Telephone consultations cannot be turned into face-to-face appointments.",Appointment Guidance,Sample prototype Data,Structured Data Appointment Guidance TC.docx
Appointment Guidance On-call (Yellow Slot),SystmOne,Appointments,Guidance on how to book On-call (Yellow Slot),"appointments, on-call appointments, on-call, oncall, oncall appointments, yellow slots, oncall appointment, on-call appointment, appointment, emergency appointment, emergency, yellow appointment, yellow appointments, on-call F2F, on-call face to face, on-call TC, on-call telephone consultation, oncall telephone consultation, oncall TC, oncall F2F, oncall face to face, oncall phone consultation, oncall phone, oncall call, oncall in person, on-call phone consultation, on-call in person, on-call phone, ","On-call slot (yellow slot) – Most of the on-call GPs will let the reception team know when they can book the on-call slots, if they do not, please ask them. Specify if you are booking a telephone call or face-to-face the same way as booking usual appointments. Follow the same protocol as other appointment booking. ",Appointment Guidance,Sample prototype Data,Structured Data Appointment On-Call .docx
Appointment Guidance On-call GP telephone consultation (All Day Green Slots),SystmOne,Appointments,Guidance on how to book on-call GP telephone consultation (All Day Green Slots),"appointments, on-call appointments, on-call, oncall, oncall appointments, oncall appointment, on-call appointment, appointment, emergency appointment, emergency, sick notes, MED3, MED3 extension, Fit Note, sick note extension, sicknote, fitnote, housebound, home visit, HV, HB, Urgent, Urgent Results, Results, Deaths, Patient deaths,",On-call GP telephone consultation (All Day Green Slots) – These are limited to: MED3 extensions (sicknotes) please frame the notes as: MED3 (or MED3 EXT) 00/00/00 for 1/52 - Reason for the note -How to send it to patient. Housebound patients – if a home visit is required. Results from Biomedical that are urgent – Please get the patients details and note what the lab said. Emergency appointments – Please check with the on-call doctor DO NOT just book. Patient deaths go straight onto on-call.,Appointment Guidance,Sample prototype Data,Structured Data Appointment On-Call All day.docx
Skills and Limitations of Clinicians,SystmOne,Appointments,Guidance on what and who you can book with which clinicians. ,"appointments, ANP, Advance Nurse Practitioner, Salaried GPs, Registrars, Trainee GPs, Gps, Clinical Pharmacists, Pharmacists, Practice Nurses, Nurses, PN, HCA, Health Care Assistant, Nurse, Clinicians, Clinician, vaccines, vaccine, vaccinations, injections, dressings, wounds, dressing, wound, wound check, suture, staple, clip, suture removal, sutures, removal, clips, clip removal, staples, staple removal, smear, cervical smear, 24 hour, blood pressure, BP, 24hr BP, 24 hour blood pressure, Ear Irrigation, ear, irrigation, FeNO, Diabetes, Diabetic check, Foot check, Diabetic review, diabetic check part 1, diabetic check part 2, diabetes check, NHS Health Check, Health Check, blood tests, urgent blood tests, urgent bloods, pill checks, weight, height, weight and height, MSK, FCP, Musculoskeletal Specialist, First Contact Physio, Physiotherapist, physio, CPCS, Community Pharmacist Consultation Service, MHF, Mental Health Facilitator, 6-8 week check, baby checks, xrays, pain, joint pain, joints, pregnancy, pregnant, injury, muscle pain, muscle, x-rays, xray, x-ray, muscles, muscular, muscular pain, genitalia, genital, genitals, breasts, breast, mental health, MH, HRT, UTIs, UTI, Hormone Replacement therapy, Urinary Tract Infection, MRIs, MRI","Salaried GPs – Anything can be booked in with our salaried GPs. Registrars – No 6-to-8-week baby checks – unless specified.  ANP – No Pregnant patients, especially if it is pregnancy related. No patients under 2 years old. No Blood test results. Clinical pharmacists – Minor illnesses. Medication queries/reviews. Nothing related to HRT and mental health. Practice Nurses – Adult vaccinations. Injections (i.e. hormone and B12). Dressings/wound checks. Suture/staple/clips removal. Smears. 24-hour BP. Ear Syringing. FeNO. Diabetic checks (part 1 and 2). NHS health checks. Blood tests (Urgent ones). Pill checks. Blood pressure, weight and height. Limitations and exceptions will be specified for certain Nurses – please see Nurses Skill Matrix. HCA – Blood tests. Dressings. Suture removal. Diabetic checks part 1. 24-hour BP. Ear Syringing. NHS Health check. Blood pressure, weight and height. No diabetic checks (part 1 and 2). No smears. No pill checks. Injections - check skill matrix, Vaccinations – check skill matrix Limitations and exceptions will be specified for certain HCAs– please see Nurses Skill Matrix. FCP/MSK/Physio – X-rays and MRIs with confirmed diagnosis of MSK concerns – with limitations please check. Joint pain. Muscular pain. Following injury. Discuss management related to MSK issues. No under 16s. No pregnant patients. No X-rays that are checking for infections and biological abnormalities. CPCS – No under 12 months. No Mental health. No HRT. No Male UTIs or UTIs in those under 16 and over 60. No Genital/breast or buttocks area – if it needs to be examined, it will have to be booked at the surgery. Mental Health Facilitator – We do not book any of these appointments. If you think a patient can benefit, send the MHF a task. There is specific criteria for the MHF so we are not to book in any appointments.",Appointment Guidance,Sample prototype Data,Structured Data Appointment Skills and Limitations.docx
Booking 6-8 Week Baby Check,SystmOne,Appointments,Guidance on how to book a 6-8 week check ,"appointment, 6-8 week, baby check, 6-8 week check, baby, check, weeks, week, 6, 8, 6 week, 8 week, appointments, baby check appointment, ","Baby MUST be registered before booking these appointments. Forms can be emailed to parents to complete and email back. Book a TWO face-to-face appointment with a GP. One for mum with a duration of 10 minutes. One for baby and it must be 20 minutes. Please only book 1 per day. Registrar appointments are 15 minutes, so when booking with a registrar it will be one appointment each. Please check which Registrars can do 6-to-8-week checks.",Appointment Guidance,Sample prototype Data,Structured Data Appointment 6 to 8 week check.docx
Booking Asthma Reviews,SystmOne,Appointments,Guidance on how to book an asthma review ,"appointment, asthma, asthma review, review appointment, asthma appointment, review, reviews, asthmatic, asthmatics, annual review, annual asthma review, annual appointment, annual asthma appointment","Patients will receive an invite via SMS for an asthma review. The reviews are booked in with Atiya at Sonichem Pharmacy, these are normally a Tuesday afternoon. These are annual reviews, not monthly. Do not book inhaler reviews in the appointment slots. Single appointment",Appointment Guidance,Sample prototype Data,Structured Data Appointment Asthma Review.docx
Booking B12 injection and Loading Doses Appointments,SystmOne,Appointments,Guidance on how to book a B12 appointment and Loading doses,"appointment, B12, vitamin, injection, loading doses, B12 injection, B12 loading doses, loading, doses, B12 appointment, injection appointment, appointments, B12s, vitamins,","B12 injections are booked in with the Practice Nurses. Check the recall date. Single appointment. For loading doses – 6 appointments, book them single appointments on Monday, Wednesday and Friday and repeat.",Appointment Guidance,Sample prototype Data,Structured Data Appointment B12 Review.docx
